,Rk,Player,Pos,Age,Tm,Games,Minutes Played,Player Efficiency Rating,True Shooting Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage, ,Offensive Win Shares,Defensive Win Shares,Win Shares,Win Shares Per 48 Minutes, .1,OBPM,DBPM,BPM,VORP,Season
567,155,Chris Paul,PG,28,LAC,13,472,23.6,.583,.355,.269,2.8,10.8,6.7,45.4,3.9,0.0,15.0,23.9,,1.5,0.5,1.9,.195,,6.4,2.4,8.8,1.3,2013-2014
568,156,Kendrick Perkins,C,29,OKC,19,384,6.6,.581,.000,.333,10.3,19.3,15.0,5.4,0.5,1.2,32.6,9.1,,0.0,0.3,0.4,.044,,-3.9,0.7,-3.2,-0.1,2013-2014
569,157,Paul Pierce,SF,36,BRK,12,368,15.1,.573,.411,.248,1.3,18.0,9.3,11.6,2.1,1.0,12.3,21.7,,0.4,0.3,0.7,.089,,0.6,0.8,1.4,0.3,2013-2014
570,158,Mason Plumlee,C,23,BRK,10,114,4.5,.460,.000,1.125,5.3,21.0,12.7,2.6,1.5,5.9,27.3,14.1,,-0.2,0.1,-0.1,-0.039,,-8.4,-0.3,-8.6,-0.2,2013-2014
571,159,Otto Porter Jr.,SF,20,WAS,3,6,0.6,.333,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,,0.0,0.0,0.0,-0.114,,-3.5,-2.8,-6.3,0.0,2013-2014
572,160,Tayshaun Prince,SF,33,MEM,7,113,5.2,.404,.154,.000,3.8,6.2,5.0,8.4,0.5,0.0,3.7,11.0,,0.0,0.0,0.0,-0.001,,-3.5,-0.4,-3.9,-0.1,2013-2014
573,161,Zach Randolph,PF,32,MEM,6,234,13.6,.447,.010,.394,7.8,17.6,12.4,11.0,1.2,0.4,7.6,25.9,,-0.1,0.2,0.1,.018,,0.6,-0.5,0.0,0.1,2013-2014
574,162,JJ Redick,SG,29,LAC,13,351,14.4,.599,.489,.195,1.3,6.1,3.6,8.4,1.6,0.0,8.3,19.5,,0.6,0.1,0.7,.095,,2.6,-0.8,1.8,0.3,2013-2014
575,163,Luke Ridnour,PG,32,CHA,4,36,9.9,.385,.462,.000,0.0,14.5,7.0,56.3,0.0,2.5,23.5,22.5,,-0.1,0.0,-0.1,-0.071,,0.4,-0.3,0.1,0.0,2013-2014
576,164,Andre Roberson,SG,22,OKC,2,9,-10.7,.000,.000,.000,0.0,23.9,12.6,0.0,0.0,0.0,0.0,15.2,,-0.1,0.0,-0.1,-0.313,,-9.9,-5.2,-15.1,0.0,2013-2014
577,165,Thomas Robinson,PF,22,POR,11,122,10.9,.469,.000,.226,9.0,15.8,12.4,7.3,2.1,3.0,12.8,14.1,,0.0,0.1,0.1,.052,,-2.5,2.0,-0.5,0.0,2013-2014
578,166,Terrence Ross,SG,22,TOR,7,158,0.9,.356,.511,.106,0.8,9.6,5.4,2.1,2.1,1.7,14.0,17.0,,-0.5,0.2,-0.3,-0.096,,-6.5,-1.2,-7.7,-0.2,2013-2014
579,167,John Salmons,SG,34,TOR,6,77,3.3,.373,.706,.059,0.0,9.1,4.7,10.5,1.4,0.0,5.4,11.2,,-0.1,0.0,0.0,-0.003,,-4.7,0.1,-4.6,0.0,2013-2014
580,168,Dennis Schröder,PG,20,ATL,2,7,34.3,1.250,.500,.000,0.0,34.7,16.3,0.0,0.0,0.0,0.0,13.3,,0.0,0.0,0.0,.314,,12.1,6.1,18.1,0.0,2013-2014
581,169,Luis Scola,PF,33,IND,18,243,13.1,.480,.029,.210,5.6,15.1,10.4,7.4,1.3,1.1,5.8,24.4,,-0.1,0.3,0.3,.054,,-2.1,-0.6,-2.7,0.0,2013-2014
582,170,Mike Scott,PF,25,ATL,7,146,10.0,.477,.492,.222,2.2,12.5,7.0,4.3,0.4,0.0,2.8,22.7,,0.0,0.2,0.1,.046,,1.0,-2.4,-1.4,0.0,2013-2014
583,171,Thabo Sefolosha,SG,29,OKC,15,236,9.0,.490,.418,.091,3.5,10.9,7.4,6.6,2.2,0.0,10.9,12.4,,0.0,0.2,0.2,.047,,-1.3,1.2,-0.1,0.1,2013-2014
584,172,Kevin Séraphin,C,24,WAS,4,6,-24.8,.000,.000,.000,19.2,19.4,19.3,0.0,0.0,0.0,25.0,31.5,,-0.1,0.0,-0.1,-0.654,,-22.0,-10.4,-32.4,0.0,2013-2014
585,173,Donald Sloan,SG,26,IND,4,15,9.3,.400,.571,.571,0.0,7.9,4.0,35.3,3.6,0.0,18.6,35.0,,-0.1,0.0,0.0,-0.132,,-1.2,-1.3,-2.5,0.0,2013-2014
586,174,Tony Snell,SG,22,CHI,5,46,-0.3,.222,.556,.000,0.0,15.6,7.5,6.9,1.2,1.7,10.0,10.5,,-0.1,0.1,-0.1,-0.073,,-8.1,1.0,-7.1,-0.1,2013-2014
587,175,Marreese Speights,C,26,GSW,7,68,23.3,.533,.000,.333,14.9,22.4,18.6,8.5,1.5,5.0,4.6,27.1,,0.1,0.1,0.2,.146,,2.1,0.5,2.6,0.1,2013-2014
588,176,Tiago Splitter,C,29,SAS,23,516,19.1,.659,.010,.710,10.5,21.0,15.9,12.6,1.6,1.7,12.1,13.4,,1.7,0.9,2.6,.239,,2.0,3.1,5.1,0.9,2013-2014
589,177,Lance Stephenson,SG,23,IND,19,705,13.5,.536,.305,.223,4.2,18.0,11.2,20.3,1.2,0.5,16.0,19.9,,0.3,1.0,1.2,.085,,0.3,0.6,0.9,0.5,2013-2014
590,178,Jeff Teague,PG,25,ATL,7,242,17.1,.521,.241,.357,2.2,10.5,6.1,32.2,1.5,1.4,13.9,28.9,,0.1,0.4,0.5,.095,,2.9,-0.4,2.6,0.3,2013-2014
591,179,Mirza Teletović,SF,28,BRK,12,220,16.8,.567,.683,.146,8.2,15.1,11.5,2.4,1.3,0.9,5.4,20.5,,0.4,0.1,0.5,.115,,3.9,-1.8,2.1,0.2,2013-2014
592,180,Garrett Temple,SG,27,WAS,10,9,9.7,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,15.8,,0.0,0.0,0.0,.111,,-5.0,4.1,-0.9,0.0,2013-2014
593,181,Hasheem Thabeet,C,26,OKC,2,7,-9.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,.004,,-13.7,1.8,-11.9,0.0,2013-2014
594,182,Klay Thompson,SG,23,GSW,7,257,12.0,.530,.449,.245,1.7,9.1,5.4,15.2,1.4,1.7,12.1,20.5,,0.2,0.0,0.2,.045,,0.5,0.6,1.1,0.2,2013-2014
595,183,Marcus Thornton,SG,26,BRK,10,124,14.2,.476,.389,.333,6.8,12.8,9.7,1.5,0.9,0.8,3.1,25.2,,0.1,0.0,0.1,.038,,0.9,-2.9,-2.0,0.0,2013-2014
596,184,Anthony Tolliver,PF,28,CHA,4,21,15.6,.904,1.000,1.500,5.8,18.7,12.0,7.3,0.0,0.0,0.0,7.5,,0.1,0.0,0.1,.228,,2.1,1.6,3.7,0.0,2013-2014
597,185,Hedo Türkoğlu,SF,34,LAC,5,41,15.1,.615,.769,.000,0.0,14.5,7.0,3.6,3.7,0.0,0.0,13.8,,0.1,0.0,0.1,.137,,3.2,1.3,4.4,0.1,2013-2014
598,186,Evan Turner,SF,25,IND,12,149,9.8,.524,.200,.143,0.0,20.6,10.5,21.3,1.5,0.0,22.8,15.8,,-0.1,0.2,0.1,.045,,-2.6,1.8,-0.8,0.0,2013-2014
599,187,Beno Udrih,SG,31,MEM,7,115,13.2,.542,.267,.289,1.9,10.2,5.8,19.3,1.4,0.0,15.1,23.9,,0.0,0.1,0.1,.034,,-0.4,0.4,0.0,0.0,2013-2014
600,188,Jonas Valančiūnas,C,21,TOR,7,200,14.8,.648,.000,.449,12.0,28.7,20.7,1.9,0.0,3.2,24.5,18.2,,0.1,0.2,0.3,.079,,-1.0,-0.5,-1.5,0.0,2013-2014
601,189,Greivis Vásquez,PG,27,TOR,7,190,14.5,.522,.422,.141,2.0,14.2,8.3,35.1,1.1,0.5,12.8,19.3,,0.3,0.1,0.4,.105,,1.9,0.3,2.2,0.2,2013-2014
602,190,Dwyane Wade,SG,32,MIA,20,693,18.5,.560,.086,.324,3.2,11.3,7.4,20.7,2.4,0.7,14.5,27.4,,0.7,0.5,1.2,.086,,1.6,-0.7,0.9,0.5,2013-2014
603,191,Kemba Walker,PG,23,CHA,4,153,19.6,.620,.436,.327,0.8,12.0,6.2,29.4,2.8,1.7,19.3,24.3,,0.2,0.2,0.3,.110,,4.1,2.3,6.4,0.3,2013-2014
604,192,John Wall,PG,23,WAS,11,420,14.1,.462,.195,.415,1.4,10.8,6.1,32.7,2.3,1.5,15.7,25.9,,-0.2,0.8,0.6,.067,,0.9,0.0,1.0,0.3,2013-2014
605,193,C.J. Watson,PG,29,IND,19,342,10.2,.523,.444,.311,1.1,12.8,7.1,8.9,2.5,0.3,12.0,16.6,,0.0,0.5,0.5,.068,,-3.2,1.6,-1.6,0.0,2013-2014
606,194,Earl Watson,PG,34,POR,4,14,-4.5,.000,1.000,.000,0.0,7.7,3.9,9.2,0.0,0.0,50.0,6.3,,0.0,0.0,0.0,-0.163,,-8.0,-2.2,-10.2,0.0,2013-2014
607,195,Martell Webster,SF,27,WAS,11,195,7.2,.467,.634,.220,2.4,12.5,7.4,4.0,1.1,2.1,8.2,11.9,,0.0,0.3,0.3,.077,,-1.9,0.2,-1.8,0.0,2013-2014
608,196,David West,PF,33,IND,19,687,15.5,.528,.041,.249,4.3,17.9,11.3,20.8,1.1,2.0,13.7,22.4,,0.3,1.0,1.3,.093,,0.2,1.4,1.6,0.6,2013-2014
609,197,Russell Westbrook,PG,25,OKC,19,735,24.9,.539,.251,.412,7.3,13.6,10.6,40.5,2.9,0.6,15.0,34.3,,1.6,0.9,2.5,.166,,6.3,1.3,7.6,1.8,2013-2014
610,198,D.J. White,PF,27,CHA,1,3,-9.4,0,0,0,0.0,87.1,41.8,0.0,0.0,0.0,100.0,15.9,,0.0,0.0,0.0,-0.441,,-18.8,0.3,-18.6,0.0,2013-2014
611,199,Deron Williams,PG,29,BRK,12,428,14.6,.506,.349,.296,2.0,9.6,5.6,28.0,1.7,0.5,13.6,22.7,,0.4,0.2,0.5,.061,,0.9,-1.3,-0.4,0.2,2013-2014
612,200,Lou Williams,PG,27,ATL,7,133,10.3,.508,.320,.320,0.0,14.6,6.9,12.3,2.8,0.7,18.6,24.5,,-0.2,0.3,0.0,.009,,-2.8,0.5,-2.3,0.0,2013-2014
613,201,Mo Williams,PG,31,POR,8,187,4.6,.462,.356,.186,1.2,5.7,3.5,12.2,0.8,0.0,18.0,18.3,,-0.2,0.0,-0.3,-0.068,,-4.8,-3.0,-7.9,-0.3,2013-2014
614,202,Brandan Wright,C,26,DAL,6,90,22.1,.799,.000,.333,6.0,9.9,7.8,13.7,1.2,5.4,8.8,11.3,,0.4,0.1,0.4,.225,,4.5,4.2,8.7,0.2,2013-2014
615,203,Dorell Wright,SF,28,POR,8,88,14.2,.566,.632,.789,2.5,17.1,9.9,4.9,1.7,7.5,16.3,15.3,,0.0,0.1,0.1,.080,,0.7,2.6,3.3,0.1,2013-2014
616,204,Cody Zeller,C,21,CHA,4,53,6.9,.372,.000,.444,11.4,9.9,10.7,5.8,0.0,5.0,15.7,11.5,,0.0,0.0,0.0,-0.010,,-3.2,-0.8,-4.0,0.0,2013-2014
617,1,Jordan Adams,SG,20,MEM,4,10,31.4,.735,.333,1.333,0.0,11.3,5.5,0.0,5.2,0.0,0.0,21.7,,0.1,0.0,0.1,.327,,11.7,7.1,18.8,0.1,2014-2015
618,2,Arron Afflalo,SG,29,POR,3,60,-5.0,.201,.333,.083,0.0,12.8,6.3,5.0,0.0,0.0,19.4,11.8,,-0.2,0.0,-0.2,-0.186,,-8.8,-3.0,-11.8,-0.1,2014-2015
619,3,Alexis Ajinça,C,26,NOP,3,10,42.0,1.000,.000,.000,0.0,10.9,5.6,26.9,5.2,0.0,0.0,18.3,,0.1,0.0,0.1,.367,,10.9,7.9,18.8,0.1,2014-2015
620,4,LaMarcus Aldridge,PF,29,POR,5,208,16.7,.426,.098,.321,10.8,18.4,14.6,8.4,0.5,3.8,5.9,29.9,,0.0,0.2,0.1,.032,,1.7,-1.4,0.4,0.1,2014-2015
621,5,Tony Allen,SG,33,MEM,10,279,14.2,.530,.123,.211,5.4,15.3,10.3,8.3,4.5,3.6,17.3,12.3,,0.1,0.6,0.6,.111,,-1.2,5.1,3.9,0.4,2014-2015
622,6,Al-Farouq Aminu,SF,24,DAL,5,150,20.4,.711,.355,.613,9.3,15.6,12.3,5.3,3.1,4.3,13.2,12.4,,0.5,0.1,0.6,.199,,4.4,3.1,7.5,0.4,2014-2015
623,7,Alan Anderson,SG,32,BRK,6,142,17.7,.734,.390,.220,1.5,14.5,8.0,8.7,1.4,0.6,15.1,17.1,,0.3,0.1,0.4,.145,,2.9,1.7,4.6,0.2,2014-2015
624,8,Ryan Anderson,PF,26,NOP,4,95,16.2,.556,.333,.167,8.4,11.5,10.0,15.7,0.0,1.8,9.4,20.6,,0.2,-0.1,0.2,.078,,2.8,-1.4,1.4,0.1,2014-2015
625,9,Giannis Antetokounmpo,SG,20,MIL,6,201,10.9,.425,.014,.324,5.8,17.3,11.1,14.3,0.8,4.0,11.9,20.6,,-0.2,0.2,0.0,-0.003,,-2.6,0.3,-2.3,0.0,2014-2015
626,10,Pero Antić,C,32,ATL,15,199,8.5,.516,.640,.500,4.8,18.3,11.6,3.0,0.5,1.2,7.6,15.1,,0.2,0.2,0.4,.092,,-3.9,-0.3,-4.2,-0.1,2014-2015
627,11,Trevor Ariza,SF,29,HOU,17,655,12.9,.576,.545,.239,2.9,14.2,8.6,10.1,2.2,0.2,10.6,13.9,,1.0,0.4,1.3,.098,,0.2,1.6,1.7,0.6,2014-2015
628,12,Ömer Aşık,C,28,NOP,4,79,9.4,.306,.000,.700,17.3,23.4,20.4,10.2,3.3,0.0,27.7,10.5,,0.0,0.0,0.0,-0.001,,-2.4,-0.2,-2.6,0.0,2014-2015
629,13,Jeff Ayres,PF,27,SAS,3,12,5.7,.000,.000,.000,0.0,27.6,13.3,21.2,0.0,0.0,0.0,3.7,,0.0,0.0,0.0,.014,,-1.5,3.5,2.0,0.0,2014-2015
630,14,Leandro Barbosa,SG,32,GSW,21,229,13.3,.532,.261,.250,3.9,8.9,6.4,12.8,1.3,0.3,10.9,21.5,,0.3,0.3,0.5,.113,,-0.8,-0.1,-0.9,0.1,2014-2015
631,15,J.J. Barea,PG,30,DAL,5,154,13.7,.495,.281,.105,3.2,13.2,8.0,34.1,1.2,0.0,19.0,19.6,,0.1,0.0,0.1,.040,,0.4,-0.7,-0.2,0.1,2014-2015
632,16,Harrison Barnes,SF,22,GSW,21,681,12.2,.519,.310,.170,7.3,10.3,8.8,7.2,1.3,1.3,9.3,15.6,,0.8,0.8,1.6,.115,,0.4,0.3,0.7,0.5,2014-2015
633,17,Matt Barnes,SF,34,LAC,14,409,9.7,.492,.600,.200,4.2,13.9,9.1,7.4,2.4,2.1,12.8,13.2,,0.1,0.4,0.5,.055,,-1.3,0.9,-0.4,0.2,2014-2015
634,18,Brandon Bass,PF,29,BOS,4,86,9.0,.410,.000,.500,3.7,6.5,5.1,18.1,0.6,3.4,10.9,14.2,,0.0,0.0,0.0,-0.022,,-0.4,0.8,0.4,0.1,2014-2015
635,19,Nicolas Batum,SF,26,POR,5,209,11.1,.469,.557,.186,3.1,19.4,11.1,21.4,0.2,0.3,13.7,19.2,,0.0,0.1,0.1,.021,,0.4,-0.6,-0.2,0.1,2014-2015
636,20,Jerryd Bayless,PG,26,MIL,6,120,12.2,.459,.200,.486,3.3,10.6,6.6,25.5,0.9,1.5,8.6,17.4,,0.1,0.1,0.2,.060,,-1.4,0.2,-1.2,0.0,2014-2015
637,21,Aron Baynes,C,28,SAS,4,40,1.3,.398,.000,.300,7.8,19.3,13.3,3.5,0.0,0.0,20.9,16.1,,-0.1,0.0,0.0,-0.056,,-8.6,-1.1,-9.7,-0.1,2014-2015
638,22,Kent Bazemore,SG,25,ATL,16,303,10.5,.514,.394,.437,1.1,17.7,9.4,6.5,1.9,2.4,11.5,14.4,,0.0,0.4,0.5,.072,,-2.7,1.5,-1.2,0.1,2014-2015
639,23,Bradley Beal,SG,21,WAS,10,418,17.9,.518,.315,.295,3.8,10.3,7.1,19.1,1.9,1.3,10.3,26.7,,0.7,0.6,1.2,.140,,1.7,1.3,3.0,0.5,2014-2015
640,24,Marco Belinelli,SG,28,SAS,7,116,20.7,.727,.769,.333,1.8,10.5,6.0,14.1,0.9,0.0,10.1,19.2,,0.5,0.0,0.5,.215,,5.7,2.3,8.1,0.3,2014-2015
641,25,Steve Blake,PG,34,POR,5,43,2.9,.295,.727,.182,0.0,2.5,1.3,28.7,0.0,1.5,14.4,14.8,,-0.1,0.0,-0.1,-0.092,,-3.9,-2.5,-6.4,0.0,2014-2015
642,26,Bojan Bogdanović,SF,25,BRK,6,206,8.3,.499,.559,.119,1.6,10.5,6.0,7.7,1.0,0.9,11.4,15.6,,0.0,0.1,0.1,.015,,-1.3,-0.7,-2.0,0.0,2014-2015
643,27,Andrew Bogut,C,30,GSW,19,440,14.0,.551,.013,.173,10.3,27.4,19.0,11.9,1.3,6.2,24.4,10.9,,0.4,1.0,1.4,.153,,-2.0,3.8,1.8,0.4,2014-2015
644,28,Matt Bonner,PF,34,SAS,7,36,-2.2,.300,.900,.000,0.0,18.4,8.9,3.8,0.0,2.2,9.1,13.7,,-0.1,0.0,-0.1,-0.089,,-9.7,-0.3,-10.0,-0.1,2014-2015
645,29,Avery Bradley,SG,24,BOS,4,133,8.2,.462,.380,.140,2.4,10.1,6.2,3.9,1.2,0.0,5.3,18.8,,0.0,0.0,0.0,-0.017,,-2.3,-0.4,-2.6,0.0,2014-2015
646,30,Elton Brand,C,35,ATL,3,4,-12.7,.266,.000,2.000,0.0,26.8,13.4,0.0,0.0,0.0,0.0,21.4,,0.0,0.0,0.0,-0.139,,-22.5,-2.3,-24.8,0.0,2014-2015
647,31,Corey Brewer,SF,28,HOU,17,428,10.9,.499,.251,.329,2.7,8.6,5.7,7.3,1.2,0.7,7.3,20.1,,0.2,0.1,0.3,.031,,-1.6,-0.7,-2.2,0.0,2014-2015
648,32,Aaron Brooks,PG,30,CHI,12,132,6.8,.421,.426,.115,2.5,12.2,7.5,14.9,1.2,0.6,12.3,25.2,,-0.2,0.2,-0.1,-0.029,,-4.4,-2.2,-6.6,-0.1,2014-2015
649,33,Markel Brown,SG,23,BRK,2,10,15.4,.510,.400,.400,21.6,0.0,10.8,18.5,0.0,0.0,25.4,36.1,,0.0,0.0,0.0,-0.061,,1.6,-4.1,-2.5,0.0,2014-2015
650,34,Jimmy Butler,SG,25,CHI,12,506,20.8,.562,.338,.338,4.0,10.4,7.3,14.1,3.0,1.4,7.9,23.9,,1.3,0.8,2.1,.203,,4.0,1.9,5.8,1.0,2014-2015
651,35,Rasual Butler,SF,35,WAS,2,7,-3.6,.000,1.000,.000,0.0,15.0,7.8,18.6,0.0,0.0,0.0,6.3,,0.0,0.0,0.0,-0.039,,-10.9,-0.3,-11.2,0.0,2014-2015
652,36,Will Bynum,SG,32,WAS,3,31,16.5,.586,.143,.357,7.2,3.4,5.3,17.8,3.3,2.6,23.6,30.3,,0.0,0.0,0.1,.078,,-2.8,1.1,-1.7,0.0,2014-2015
653,37,Nick Calathes,SG,25,MEM,9,126,7.8,.418,.361,.222,0.9,13.4,7.0,19.6,3.7,0.7,20.2,18.0,,-0.2,0.2,-0.1,-0.022,,-5.0,1.8,-3.1,0.0,2014-2015
654,38,Clint Capela,C,20,HOU,17,127,21.8,.651,.000,.935,10.8,23.4,17.2,6.4,1.1,5.6,6.4,15.4,,0.4,0.1,0.6,.217,,1.9,2.9,4.9,0.2,2014-2015
655,39,DeMarre Carroll,SF,28,ATL,16,558,16.8,.597,.407,.232,5.0,13.6,9.3,9.5,1.7,0.7,7.1,17.1,,1.2,0.6,1.8,.157,,2.1,0.6,2.7,0.7,2014-2015
656,40,Vince Carter,SG,38,MEM,11,196,13.7,.486,.418,.134,7.2,19.5,13.2,9.3,1.9,0.9,9.0,18.2,,0.1,0.2,0.3,.085,,-0.2,1.7,1.5,0.2,2014-2015
657,41,Michael Carter-Williams,PG,23,MIL,6,191,11.5,.438,.064,.154,0.5,15.8,7.5,29.5,1.9,2.8,16.1,23.4,,-0.3,0.2,-0.1,-0.032,,-2.7,1.0,-1.7,0.0,2014-2015
658,42,Tyson Chandler,C,32,DAL,5,160,17.3,.631,.000,.897,16.7,18.0,17.3,0.8,0.9,3.0,11.0,11.6,,0.4,0.0,0.5,.146,,2.2,-1.8,0.4,0.1,2014-2015
659,43,Earl Clark,PF,27,BRK,2,13,1.2,.300,.300,.000,0.0,16.7,8.3,0.0,3.9,0.0,0.0,35.2,,-0.1,0.0,-0.1,-0.235,,-3.5,-3.2,-6.7,0.0,2014-2015
660,44,Norris Cole,PG,26,NOP,4,106,3.8,.469,.389,.083,1.1,6.2,3.7,10.5,0.0,0.8,17.7,19.6,,-0.2,-0.1,-0.3,-0.123,,-5.3,-3.8,-9.2,-0.2,2014-2015
661,45,Mike Conley,PG,27,MEM,8,243,17.5,.531,.344,.292,0.0,4.2,2.0,28.6,2.4,0.0,10.0,22.6,,0.4,0.2,0.6,.111,,3.1,0.7,3.8,0.4,2014-2015
662,46,Allen Crabbe,SG,22,POR,2,39,15.0,1.000,.400,.000,0.0,8.4,4.2,4.3,2.7,1.7,16.7,7.1,,0.1,0.0,0.1,.145,,2.4,4.1,6.5,0.1,2014-2015
663,47,Jamal Crawford,SG,34,LAC,14,379,10.0,.447,.398,.161,1.7,6.6,4.2,11.1,1.7,0.7,7.9,24.8,,-0.3,0.1,-0.2,-0.020,,-1.4,-2.2,-3.6,-0.2,2014-2015
664,48,Jae Crowder,SF,24,BOS,4,100,19.2,.619,.345,.448,8.5,13.5,10.9,13.9,2.1,2.9,12.6,17.7,,0.3,0.1,0.3,.154,,2.7,3.2,5.9,0.2,2014-2015
665,49,Dante Cunningham,PF,27,NOP,4,75,19.8,.852,.000,.273,6.1,20.3,13.4,4.1,2.1,4.6,0.0,7.5,,0.3,0.0,0.3,.193,,3.4,4.3,7.7,0.2,2014-2015
666,50,Stephen Curry,PG,26,GSW,21,826,24.5,.607,.528,.262,2.7,11.1,6.9,29.9,2.4,0.3,14.3,31.0,,2.7,1.2,3.9,.228,,7.7,1.1,8.8,2.2,2014-2015
667,51,Gigi Datome,SF,27,BOS,3,14,-0.4,.333,.333,.000,0.0,8.0,3.9,12.3,0.0,0.0,0.0,19.1,,0.0,0.0,0.0,-0.124,,-8.0,-1.2,-9.2,0.0,2014-2015
668,52,Anthony Davis,PF,21,NOP,4,172,28.5,.613,.023,.414,6.0,22.1,14.2,9.3,1.5,6.1,11.2,30.8,,0.6,0.1,0.7,.183,,6.1,1.3,7.4,0.4,2014-2015
669,53,Glen Davis,PF,29,LAC,14,144,7.1,.489,.026,.237,6.7,13.0,9.9,3.0,1.7,3.0,17.7,15.4,,-0.1,0.1,0.1,.018,,-5.3,0.3,-5.0,-0.1,2014-2015
670,54,Matthew Dellavedova,SG,24,CLE,20,497,6.8,.476,.559,.235,2.2,6.8,4.5,17.3,1.0,0.0,18.9,16.9,,-0.1,0.3,0.2,.020,,-3.0,-0.8,-3.8,-0.2,2014-2015
671,55,DeMar DeRozan,SG,25,TOR,4,159,15.7,.463,.100,.213,3.4,15.2,8.9,26.5,1.9,0.0,10.3,27.5,,0.0,0.0,0.0,-0.007,,1.6,-0.8,0.8,0.1,2014-2015
672,56,Boris Diaw,PF,32,SAS,7,198,16.5,.528,.254,.183,6.8,16.7,11.6,20.6,1.3,1.2,10.5,19.4,,0.4,0.2,0.5,.127,,0.9,2.2,3.1,0.3,2014-2015
673,57,Joey Dorsey,PF,31,HOU,6,13,0.6,.174,.000,1.000,8.1,23.7,16.0,19.8,0.0,0.0,25.8,12.5,,0.0,0.0,0.0,-0.117,,-6.2,0.2,-5.9,0.0,2014-2015
674,58,Jared Dudley,SG,29,MIL,6,110,17.2,.605,.467,.233,2.7,8.4,5.3,13.0,5.6,1.6,13.1,15.6,,0.1,0.2,0.3,.143,,0.8,5.4,6.2,0.2,2014-2015
675,59,Tim Duncan,C,38,SAS,7,250,24.2,.595,.011,.378,7.9,26.0,16.6,16.0,1.8,3.1,6.3,20.1,,0.8,0.4,1.2,.229,,3.9,3.5,7.5,0.6,2014-2015
676,60,Mike Dunleavy,SF,34,CHI,12,389,14.4,.680,.636,.216,2.0,11.3,6.8,13.1,1.4,1.0,13.5,13.0,,0.9,0.5,1.4,.169,,1.6,1.5,3.2,0.5,2014-2015
677,61,Monta Ellis,SG,29,DAL,5,197,19.5,.543,.270,.180,2.0,6.5,4.2,21.9,2.4,1.2,11.8,28.2,,0.4,0.0,0.4,.094,,3.4,0.3,3.7,0.3,2014-2015
678,62,Tyler Ennis,PG,20,MIL,1,16,10.3,.278,.556,.000,18.3,7.2,13.3,33.3,0.0,0.0,0.0,25.3,,0.0,0.0,0.0,-0.076,,2.9,-3.7,-0.8,0.0,2014-2015
679,63,Tyreke Evans,SG,25,NOP,4,125,10.8,.396,.256,.395,2.7,14.8,8.9,24.3,2.1,0.7,10.6,20.7,,-0.1,0.0,-0.1,-0.038,,-1.5,-1.2,-2.7,0.0,2014-2015
680,64,Festus Ezeli,C,25,GSW,20,183,16.1,.558,.000,.580,14.5,22.4,18.5,5.2,0.3,4.4,16.1,18.3,,0.3,0.3,0.6,.150,,-1.1,0.5,-0.7,0.1,2014-2015
681,65,Raymond Felton,PG,30,DAL,3,36,7.6,.337,.267,.200,2.8,17.8,10.0,14.7,0.0,0.0,0.0,18.6,,0.0,0.0,0.0,-0.038,,-2.9,-3.5,-6.3,0.0,2014-2015
682,66,Tim Frazier,PG,24,POR,2,3,-32.1,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.6,,-0.1,0.0,-0.1,-0.889,,-19.8,-10.8,-30.5,0.0,2014-2015
683,67,Joel Freeland,C,27,POR,2,7,9.7,0,0,0,0.0,15.7,7.7,0.0,7.5,0.0,0,0.0,,0.0,0.0,0.0,.100,,-1.5,4.0,2.5,0.0,2014-2015
684,68,Marc Gasol,C,30,MEM,11,416,21.3,.496,.011,.489,4.9,25.4,15.0,20.5,1.3,4.2,6.8,25.8,,0.8,0.6,1.4,.161,,3.5,2.5,6.0,0.8,2014-2015
685,69,Pau Gasol,PF,34,CHI,10,317,20.1,.539,.035,.365,6.0,26.1,16.3,18.1,0.8,5.3,13.6,22.2,,0.4,0.7,1.1,.166,,1.6,2.2,3.7,0.4,2014-2015
686,70,Alonzo Gee,SF,27,POR,1,3,16.3,0,0,0,0.0,36.5,18.0,47.9,0.0,0.0,0,0.0,,0.0,0.0,0.0,.181,,2.0,6.6,8.6,0.0,2014-2015
687,71,Taj Gibson,PF,29,CHI,12,276,14.3,.522,.000,.417,10.1,16.0,13.1,7.3,0.8,3.5,11.4,15.9,,0.3,0.4,0.8,.132,,-1.0,0.2,-0.8,0.1,2014-2015
688,72,Manu Ginóbili,SG,37,SAS,7,131,17.1,.527,.512,.535,3.2,16.8,9.8,36.4,1.6,3.6,20.9,23.0,,0.2,0.2,0.3,.117,,1.8,3.0,4.8,0.2,2014-2015
689,73,Drew Gooden,PF,33,WAS,10,178,12.5,.510,.426,.213,8.2,24.8,16.8,7.0,0.6,4.4,17.3,20.1,,0.0,0.3,0.3,.083,,-2.2,1.4,-0.8,0.1,2014-2015
